,FX1_W2_Day2,FX1_W4_Day4,FX1_W5_Day3,FX1_W5_Day4,FX1_W6_Day4,FX1_W6_Day5,FX1_W7_Day1,FX1_W7_Day2,FX1_W7_Day3,FX1_W7_Day4,FX1_W7_Day5,FX1_W8_Day1,FX1_W8_Day2,FX1_W8_Day3,FX1_W8_Day4,FX2_W2_Day1,FX2_W2_Day2,FX2_W2_Day3,FX2_W2_Day4,FX2_W2_Day5,FX2_W3_Day1,FX2_W3_Day2,FX2_W3_Day3,FX2_W5_Day1,FX2_W5_Day2,FX2_W5_Day3,FX2_W5_Day4,FX2_W5_Day5,FX2_W6_Day1,FX2_W6_Day2,FX2_W6_Day3,FX2_W6_Day4,FX2_W6_Day5,FX2_W7_Day1,FX2_W7_Day2,FX2_W7_Day3,FX2_W7_Day4,FX2_W7_Day5,FX2_W8_Day1,FX3_W2_Day1,FX3_W2_Day2,FX3_W2_Day3,FX3_W2_Day4,FX3_W2_Day5,FX3_W3_Day2,FX3_W3_Day3,FX3_W3_Day4,FX3_W5_Day1,FX3_W5_Day2,FX3_W5_Day3,FX3_W5_Day4,FX3_W5_Day5,FX3_W6_Day1,FX3_W6_Day2,FX3_W6_Day3,FX3_W6_Day4,FX3_W6_Day5,FX3_W7_Day1,FX3_W7_Day2,FX3_W7_Day3,FX3_W7_Day4,FX3_W7_Day5,FX3_W8_Day1,FX3_W8_Day2,FX3_W8_Day3,MX1_W3_Day1,MX1_W3_Day2,MX1_W3_Day3,MX1_W3_Day4,MX1_W3_Day5,MX1_W4_Day2,MX1_W4_Day3,MX1_W4_Day4,MX1_W5_Day1,MX1_W5_Day2,MX1_W6_Day1,MX1_W6_Day2,MX1_W6_Day3,MX1_W6_Day4,MX1_W6_Day5,MX1_W7_Day1,MX1_W7_Day2,MX1_W7_Day3,MX1_W7_Day4,MX1_W7_Day5,MX1_W8_Day1,MX1_W8_Day2,MX1_W8_Day3,MX1_W8_Day4,MX1_W8_Day5,MX2_W2_Day1,MX2_W2_Day3,MX2_W3_Day1,MX2_W3_Day2,MX2_W3_Day3,MX2_W3_Day4,MX2_W3_Day5,MX2_W4_Day2,MX2_W4_Day3,MX2_W6_Day1,MX2_W6_Day2,MX2_W6_Day3,MX2_W6_Day4,MX2_W6_Day5,MX2_W7_Day1,MX2_W7_Day2,MX2_W7_Day3,MX2_W7_Day4,MX2_W7_Day5,MX2_W8_Day1,MX2_W8_Day2,MX2_W8_Day3,MX2_W8_Day4,MX2_W8_Day5,Zt,T
65,167.1643616,162.8029138,157.4432171,175.991272,159.4094037,175.5651836,163.7241399,184.1927571,166.2949193,159.8009507,160.2416629,167.0741619,179.7213965,162.2595089,169.0302992,142.5559338,133.3864279,140.5102167,146.3707271,130.9696785,154.65951,155.7928898,175.25304,167.6989068,160.6605743,158.4561515,158.1518377,154.7908063,157.6234832,142.9821816,151.8231735,159.4094037,142.7612653,138.8866765,167.6816839,160.0301779,137.9200113,139.9888847,149.5354209,141.1486997,133.3864279,131.713537,146.3707271,147.4665337,154.132778,166.0732936,160.849626,159.9973669,147.456573,162.8932511,164.2864109,191.794134,149.2208338,142.7558141,149.2277315,167.5260669,177.633149,157.817293,140.0375336,145.362673,146.8570532,161.8452273,144.3153745,155.3912717,146.8521789,168.1229346,175.8500094,169.735076,159.9459503,142.2546148,168.6652644,159.7337052,174.3814352,178.5454271,182.5482944,164.0207297,187.8256796,167.6082849,170.3393634,165.4827059,163.8087089,157.166215,160.6040736,168.0015983,172.7778119,158.9479435,167.3430886,164.0464751,166.1388438,165.9105751,148.6531114,148.3307185,149.5615614,168.4198842,158.029874,146.6610915,150.2420168,157.7003378,183.3126737,160.3737429,166.0601718,167.5304525,164.6754938,157.4722604,153.9441606,157.5121762,149.5078865,159.7364716,151.3322683,167.8449704,183.8024959,156.6813118,156.5944346,173.3613788,2,25
66,156.1416951,160.6262806,161.0225668,166.1916115,165.3912237,194.3179349,167.7644865,192.1971265,151.6956662,162.2321813,163.365308,170.5615918,160.4625806,157.661642,159.8984724,133.5609897,138.9534528,143.5224935,137.6420087,139.1454843,151.511932,166.4087354,168.6192884,198.1947679,176.9823797,162.2504261,166.0114063,180.3608782,168.6254897,156.1121491,162.7038804,165.3912237,170.8967089,156.5506794,176.3891432,161.161813,141.5381081,177.2778418,156.6115208,147.7097621,138.9534528,137.2142813,137.6420087,147.2204455,143.5268717,148.5704826,180.7009386,156.1062149,151.1315023,163.0735945,186.8441681,212.736036,160.4300306,200.3062171,162.8523999,152.222696,189.8636986,160.8303165,163.6874024,143.6270101,148.5373266,180.1755731,151.8648912,151.8513061,164.3682185,169.2621969,178.3120506,164.2967854,157.8900158,147.8049663,170.2694507,158.6643496,167.5799553,181.2583379,172.9118783,171.6117273,172.9169399,199.0056915,188.1324063,165.8478473,164.4112812,152.2932348,160.1142734,170.9632787,172.382765,163.8484297,165.3197271,175.0639692,166.3110942,166.5884069,150.0109176,150.6783913,147.0129447,170.0858847,158.4515307,147.2253098,161.2772961,152.8943404,185.3825651,166.1228744,169.8459724,160.0685729,154.6197061,152.6396405,161.4393615,165.5317455,153.9335411,160.470944,148.8078562,172.299154,183.8024959,173.5064302,153.8255099,153.4493367,2,30
67,148.283654,171.2206906,172.0641863,189.9338707,164.9207643,192.9768242,159.0974918,181.3461721,148.092226,173.7425121,160.2512211,151.1091955,160.4504219,152.7461719,156.7948439,134.3711655,142.6947651,145.0192887,153.1435233,135.4423171,158.6784741,155.2369198,142.0005504,174.5941889,192.1095428,148.0369654,156.2329789,200.1201654,169.841628,166.0399712,157.9500425,164.9207643,171.2307218,160.0725683,185.8980268,151.9206402,140.1499564,189.1699883,154.818177,154.6904177,142.6947651,157.093259,153.1435233,136.9012847,146.6450026,140.9247706,165.298244,161.8710703,150.9247784,151.6329774,212.7886618,180.2572694,168.5609026,192.3682052,186.59168,160.1397809,192.5759154,154.2537375,157.286711,158.7165056,138.1694999,166.2919287,177.18949,159.7745199,186.9939453,169.2329133,168.8606193,173.4704566,155.4435063,155.4712536,171.6444056,166.9001704,171.7630472,174.4313067,163.239589,172.2789502,182.5452948,207.877813,214.7927309,163.2969036,170.4092327,169.6587723,168.775743,174.2348359,178.3370504,169.3506068,170.0772031,171.0622061,162.6096897,182.2158639,146.2892432,151.7488825,147.3646653,166.6577881,156.7160649,150.3932972,182.269116,153.3375131,170.1460811,160.0464295,171.5577959,160.4505756,157.4201717,151.6500491,154.0671788,160.5075439,154.8299875,161.9020949,159.7894153,179.6527779,162.7561127,183.6928214,162.2704868,159.7305649,2,35
68,148.4816443,176.0214593,185.5411466,181.7865777,160.0929284,196.7100265,155.9930053,174.4425797,162.0482084,183.9218868,162.9498553,158.7136065,155.3385759,171.6877583,186.0051185,143.971578,146.433784,162.4713238,160.1584481,139.2288953,150.1359361,183.6835575,141.9930243,175.8433188,192.4390528,133.5385387,184.554117,195.2473137,175.2753187,156.9503087,167.6354521,160.0929284,182.5010994,146.7432311,183.839678,154.0874731,171.5315913,206.060148,163.5660163,172.7499668,146.433784,173.1806675,160.1584481,144.1666258,146.2222195,154.6160894,169.8791692,155.0165134,174.1297519,179.1520698,217.2554874,149.1664323,154.5192538,195.861266,156.7673846,161.3363844,194.5258562,190.909873,174.9840435,145.3623884,135.1732987,177.6974777,160.237808,198.0601672,195.0264082,173.7846393,169.3975574,194.2990228,152.0013855,153.4709676,177.3958398,191.2857786,188.1586129,178.5795491,171.8756688,165.3867812,200.8924808,178.0307815,227.9223505,163.0903528,176.1404067,165.2148154,160.4916438,166.702936,185.1947533,187.275025,173.3385259,166.2044901,167.4940941,194.1838769,144.2545796,149.3092818,154.4583606,162.2978394,153.6717814,153.2305235,178.6102074,154.2856568,170.2591866,169.2093006,169.7489042,160.7685125,161.2344898,155.9317895,151.8929071,176.3431046,156.223435,159.1535839,157.5593902,182.8384944,171.6329347,188.2557238,174.1916401,163.7174161,2,40
69,155.1869396,175.0810375,184.3361621,189.7872735,165.0168804,191.5025969,177.6164123,174.6708097,162.6830735,144.4421442,165.1256936,177.1376644,160.2972526,187.7179458,184.1878724,143.8826496,161.4013186,164.1194926,149.4848534,160.2627089,152.3521822,182.9508508,156.299656,197.6401658,189.9210068,148.5857753,202.3708095,205.4526089,163.8731271,148.1091195,184.5847133,165.0168804,187.959915,157.1937271,167.4846118,166.7512425,177.8279991,210.5126746,162.977301,179.015243,161.4013186,185.3732362,149.4848534,141.7361284,156.4722248,162.5807169,190.6506004,166.2521594,175.0768611,197.6884136,199.5247175,179.5869246,160.7827312,211.3034563,179.8742969,184.1966524,197.2627852,170.5014551,173.5960073,155.4360646,161.1978571,209.1409016,183.8560147,201.0390699,201.4546437,166.343651,170.1127363,195.4677767,155.7694314,167.9882982,191.9580861,199.5753491,203.2476123,175.2000246,173.6715247,163.8358769,209.8840874,164.6284778,190.2595521,181.9158174,171.7062705,172.6319892,168.4558325,180.5288675,199.2009571,193.7894681,174.5569873,166.9918624,166.4080663,196.3394462,146.706833,154.7822034,147.5886992,159.4963415,157.4469352,152.0024007,186.0669067,157.2304924,172.4512433,186.0782107,187.9327166,166.9259645,174.6335902,156.2268801,156.943736,168.7104305,158.5700977,172.8228542,151.6122163,185.4794821,177.1911883,189.7250453,161.0195815,163.2482134,2,45
70,174.624649,162.8330739,184.6154665,184.346855,174.2230322,196.8798075,182.4275595,175.5586034,178.99391,143.3024638,181.6729351,191.1308347,149.9320434,190.4479531,154.6990053,139.7880382,162.3961094,148.5550077,142.3916923,161.953133,178.2712625,192.5687729,185.6566609,210.7549509,204.6697255,156.523832,210.194643,208.4660174,183.307174,169.6403258,177.6124936,174.2230322,193.8148366,181.0895963,183.839678,153.0864567,183.4206669,196.2143617,183.5178332,181.0060988,162.3961094,176.3607021,142.3916923,149.3487779,154.3972878,177.7534853,200.5237714,189.2476381,158.3496182,203.5621108,200.2379268,196.21154,161.696007,170.5740762,199.3801665,199.2809151,186.3171498,177.6827904,175.2410795,164.8205269,164.1951675,204.2657187,178.3226671,200.2295178,206.9759087,170.0615608,170.0825398,171.2723559,168.7892232,166.0158516,198.054635,188.3181866,204.4415843,169.4966595,177.8473,173.3341232,229.0580238,163.5538362,165.1384752,181.7471974,175.3805012,181.6728151,169.742388,193.6688444,207.719226,198.4802215,177.110767,166.6224107,164.8041465,207.4991932,144.8201072,150.1542535,151.82762,156.6029148,171.4350123,151.3734403,183.2696499,159.5862447,190.1184835,198.1403901,190.318153,183.7349006,179.3696709,160.4866705,152.9748033,185.3971501,155.0885227,158.4634456,149.0712269,186.931557,186.9632405,189.2857751,175.0675032,181.8466482,2,50
71,176.7457119,159.0822203,185.3179305,189.4054043,179.3648056,192.6697342,180.007168,175.9237864,177.609697,151.4517457,187.6311067,198.1627613,158.715683,195.493824,173.266622,145.3810579,168.861892,179.5232314,169.2446253,134.8719067,146.516153,195.3453715,200.1920071,221.085099,204.882006,159.8633776,180.2298994,205.2612846,201.201608,171.1088487,189.4680497,179.3648056,186.949152,151.9305573,183.839678,144.7469093,200.0196936,184.9814931,179.0354346,158.8057724,168.861892,175.5458583,169.2446253,158.2058791,189.7717055,193.5454752,187.974152,198.5709771,188.5044879,207.8700253,189.5836234,184.0781059,187.7502427,158.889918,194.6856311,202.5016236,191.6717664,206.3190662,176.9240762,208.4986831,190.3982509,211.7426537,199.3364732,196.3052776,178.8240502,157.4340725,170.1116911,169.5175197,183.6785231,180.4224752,210.4755424,175.966837,205.1116579,176.0561998,175.0586549,161.9412036,235.0004353,203.3482935,160.6201893,168.1743539,191.5042125,177.3590237,179.9324004,195.7663978,212.5562361,198.6558866,189.8850856,157.4630266,173.3011006,213.9929042,146.785013,151.9906787,154.4595342,167.2922407,169.3689892,151.8786615,170.3914518,165.6773023,195.2386348,209.9028375,201.954366,200.9652056,198.9386662,166.1843197,148.098889,190.9187037,160.3630516,150.322319,157.0813154,185.1037587,197.4647002,193.8145275,181.5903521,180.7099239,2,55
72,168.8651655,162.104009,179.3992733,200.0617644,177.9525043,197.9735931,177.6136973,173.4420737,182.4595605,162.24524,203.017023,191.1927587,154.8236378,177.5091993,191.0750997,136.4029618,179.7480441,191.4141032,187.6610223,129.1572468,172.6126255,178.7885723,194.0961534,193.3939862,206.6986335,182.6434791,191.3989934,203.6563921,212.48644,178.717685,198.6996285,177.9525043,192.8288855,161.819973,183.839678,155.6113,199.5149025,183.8438475,193.0078568,158.0031537,179.7480441,161.9527276,187.6610223,175.5284044,196.7734948,190.1253572,189.9792242,199.1642252,194.7258679,207.9262252,147.3128155,194.5649459,208.1352952,206.5259573,192.3841261,195.8111359,190.7188698,204.0114455,174.6960158,204.7780907,200.3168092,204.7137443,202.846049,206.4210628,203.8628033,161.3481712,183.8664903,163.4929312,168.1211106,184.1507198,208.1203838,187.7862314,212.4711866,178.8968941,183.2751473,175.1164855,229.3828415,203.6960763,169.4641267,166.0262221,196.9814459,186.7540485,191.3127139,198.13567,211.9415164,196.0832389,200.5683423,164.6921293,173.7454339,213.8481607,148.6269149,152.2737322,178.0211528,170.2189941,164.9661268,154.0224347,181.9272756,184.0583829,195.2425301,208.9822223,202.591624,205.7416396,207.0760469,172.0259647,170.2581191,195.0426393,171.0507053,156.1404669,173.0205766,181.9975199,200.1461387,195.8001543,188.8047741,183.2626712,2,60
73,168.4304696,159.3074449,177.6325013,185.4469094,171.0096242,178.7984826,186.0277562,173.8781814,183.6598279,177.3881351,202.3062199,199.2174078,172.4352771,173.9232871,196.5897895,165.346688,177.6024539,189.8031011,190.288676,132.3556595,184.8468354,202.3819371,196.2928889,223.1405719,212.0360851,185.3828458,204.1595785,198.4518378,220.9382955,188.8433778,197.5138637,171.0096242,183.7301461,183.0112759,151.1324244,190.235074,194.2778198,186.2130667,198.4193115,167.8470224,177.6024539,175.9928274,190.288676,187.3826334,157.8498085,183.8192766,187.3420064,198.0454973,203.6208651,205.0871614,136.9972125,199.7088687,211.3567516,208.8384343,205.0599343,195.5579744,191.5185034,204.8283748,175.2974469,198.9751057,204.8067741,192.047203,183.4356131,207.0890859,208.2342413,163.3703186,188.8880294,189.6405646,186.903865,189.3455754,213.2410875,196.9021551,216.1862692,186.802236,199.7308049,168.7943788,232.8175539,196.971879,163.5372703,177.4820425,193.3321307,185.9221051,197.6560401,194.8688132,213.0016647,197.8540343,202.4656978,168.3964697,195.4839533,227.6467855,160.183877,152.5654477,184.3390995,181.8226746,172.4068378,153.9333929,184.0698657,192.2430392,191.2888804,211.8938062,198.775325,208.5814105,206.8956525,181.9556932,176.5274467,200.4152205,177.6835026,157.1150729,184.1929411,174.3300596,205.0278771,196.1416513,198.6937475,184.8905065,2,65
74,163.6906518,160.5069127,177.7377254,189.3102082,172.4838008,182.2428326,185.9613959,176.0948549,182.641045,176.5277305,194.3681813,200.836365,189.6026845,191.5783078,205.4397037,169.0798862,180.958844,182.6478671,194.8103952,141.1701605,200.3601647,156.4652008,182.6215106,214.2053495,210.2756717,196.3058967,201.7367541,202.7748008,221.5373394,198.0698214,195.4698611,172.4838008,194.7629305,188.5566538,183.839678,200.3078021,197.0090766,180.6464785,201.2752713,173.3447647,180.958844,179.4804462,194.8103952,177.899429,142.1208275,193.8835757,195.5600748,210.4247368,191.0432306,207.8781057,151.7983824,193.6864117,210.4903162,217.7775828,206.6327318,191.885854,197.6046024,219.7293875,184.9923025,205.0063899,189.2263392,196.695549,191.4437534,195.5758892,203.508897,180.5305176,184.9918109,201.545608,199.4744981,206.4998723,223.3296918,194.4194749,218.8978771,199.1556797,214.3074786,176.435708,199.2201902,207.5173225,173.7340022,199.9009183,196.921514,183.8768271,198.9337789,201.1404716,212.1740677,184.9143881,196.5446983,174.0212932,214.2718478,218.3752005,166.785713,148.8270373,187.6108641,186.1072722,166.6337527,160.6384033,188.7337303,193.7865559,187.5446367,212.4961057,200.9480862,210.5512814,207.0630363,185.5261179,179.7022677,196.216012,179.3684993,161.5518648,182.7066039,179.4331767,193.3648639,197.831553,217.3290711,189.262299,2,70
75,173.7183596,163.0766799,177.5284587,182.973595,176.8661736,187.1043353,187.8311239,174.6359934,184.8389301,180.3174934,176.2528237,193.2053678,194.7285064,205.9906095,204.7076519,172.5301126,173.811591,189.0868686,191.9227624,160.503781,186.8380224,141.6797609,188.3110767,210.0286511,202.205806,197.9425421,199.7273469,200.6117934,229.8545932,205.0470942,192.0031043,176.8661736,192.7795799,190.4221914,183.839678,193.8481444,193.9836647,193.3833532,195.5325313,177.0174581,173.811591,166.0197473,191.9227624,168.3040411,172.4181731,183.4588554,192.4187461,212.6358967,197.9927506,199.1338432,166.9232537,194.9358932,208.8295128,196.9335602,202.1093921,194.0894342,190.6118193,214.9374959,196.4069397,201.7804446,188.8446212,201.8113388,200.4622769,205.8000429,209.8095218,197.9601552,204.9500107,218.1224449,216.6292139,209.0785355,223.7464549,213.968588,221.7384825,207.3957691,213.1444399,189.1746777,200.9388085,208.4828563,174.5662764,215.1559202,204.5140921,181.3941143,180.4670008,192.042454,178.0621036,194.5597771,200.237272,199.1666111,212.7717551,222.2516921,169.6223307,159.4742913,193.0061052,190.6111941,175.7017207,171.5501583,193.4222655,199.1746001,195.6727851,211.3288639,202.2022322,195.9414274,204.8564445,184.4055633,180.5962049,196.7221226,181.8823675,174.1936933,185.5108439,180.4889779,160.4201001,196.7596884,216.1583951,187.755838,2,75
